epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2515,1.25216,1.82448,1.26168,0.54795,0.69014,0.67506,0.53692,0.96827,1.03393,1.11836,7.14e-06,7.14e-06,7.14e-06
2,30.898,1.21044,1.40084,1.21895,0.70718,0.58568,0.68262,0.53918,0.96735,1.00232,1.12508,1.51637e-05,1.51637e-05,1.51637e-05
3,32.563,1.28051,1.47978,1.28955,0.71689,0.5892,0.68355,0.5373,0.97144,1.00114,1.12861,2.28575e-05,2.28575e-05,2.28575e-05
4,34.0333,1.21429,1.42589,1.23977,0.67125,0.56354,0.67405,0.52864,0.97692,1.01183,1.13668,3.02215e-05,3.02215e-05,3.02215e-05
5,35.4506,1.24435,1.43539,1.25589,0.77679,0.4875,0.67061,0.52092,0.98467,1.04447,1.14693,3.72556e-05,3.72556e-05,3.72556e-05
6,36.8742,1.23338,1.34775,1.23729,0.80412,0.48611,0.6697,0.51617,0.99208,1.06795,1.14928,4.39598e-05,4.39598e-05,4.39598e-05
7,38.3433,1.18613,1.31754,1.24473,0.73702,0.48129,0.64977,0.50299,1.0101,1.09009,1.15654,5.03341e-05,5.03341e-05,5.03341e-05
8,39.7347,1.13242,1.22504,1.18975,0.77837,0.47449,0.64495,0.4961,1.01549,1.11216,1.16012,5.63786e-05,5.63786e-05,5.63786e-05
9,41.1301,1.12013,1.17938,1.18296,0.79132,0.46195,0.63573,0.49036,1.02672,1.12419,1.16703,6.20932e-05,6.20932e-05,6.20932e-05
10,42.5138,1.14119,1.18066,1.15877,0.74281,0.4667,0.63405,0.49015,1.04212,1.14415,1.17418,6.7478e-05,6.7478e-05,6.7478e-05
11,43.8841,1.13236,1.17827,1.2459,0.54451,0.53909,0.62473,0.48414,1.05629,1.16318,1.17575,7.25329e-05,7.25329e-05,7.25329e-05
12,45.2749,1.16315,1.13953,1.16318,0.59417,0.51576,0.62383,0.48722,1.06567,1.17352,1.18525,7.72579e-05,7.72579e-05,7.72579e-05
13,46.6161,1.09687,1.16826,1.16297,0.59627,0.50929,0.62452,0.48434,1.06832,1.17874,1.18327,8.1653e-05,8.1653e-05,8.1653e-05
14,48.416,1.08058,1.12085,1.18055,0.63908,0.50346,0.60728,0.46578,1.06964,1.21251,1.18415,8.57183e-05,8.57183e-05,8.57183e-05
15,49.7827,1.10212,1.11426,1.13847,0.57231,0.50566,0.60819,0.46567,1.05546,1.24128,1.16836,8.60132e-05,8.60132e-05,8.60132e-05
